id,year,model_id
1620,2012,491
1621,2011,491
1622,2013,491
1623,2016,492
1624,2003,492
1625,2007,492
1626,2007,493
1627,2007,494
1628,2010,494
1629,2009,494
1630,2019,494
1631,2001,494
1632,2006,494
1633,2005,494
1634,2011,494
1635,2015,494
1636,2015,495
1637,2011,496
1638,2012,496
1639,2010,497
1640,2012,497
1641,2016,497
1642,2010,498
1643,2012,498
1644,2014,499
1645,2014,500
1646,2007,501
1647,2015,501
1648,2004,502
1649,2007,503
1650,2015,503
1651,2007,504
1652,2006,504
1653,2009,504
1654,2013,505
1655,2016,505
1656,2004,505
1657,2013,506
1658,2016,506
1659,1998,507
1660,2005,507
1661,2003,508
1662,2006,509
1663,2005,509
1664,2009,509
1665,2001,509
1666,2002,509
1667,2015,510
1668,2011,511
1669,2011,512
1670,2015,512
1671,2014,512
1672,2004,512
1673,2012,512
1674,2005,512
1675,2016,513
1676,2005,514
1677,2003,514
1678,2002,514
1679,2000,514
1680,2002,515
1681,2011,515
1682,2006,515
1683,2001,515
1684,2008,515
1685,2012,516
1686,2015,516
1687,2008,517
1688,2000,517
1689,2004,517
1690,2018,518
1691,2009,518
1692,2010,518
1693,2008,518
1694,2005,518
1695,2015,518
1696,2019,518
1697,2016,518
1698,2000,518
1699,2002,518
1700,2007,519
1701,2008,519
1702,2016,520
1703,2005,521
1704,2018,521
1705,2014,521
1706,2015,521
1707,2003,522
1708,2005,522
1709,2006,522
1710,2018,523
1711,2009,523
1712,2002,523
1713,2005,523
1714,2014,523
1715,2016,523
1716,2013,523
1717,2019,523
1718,2012,523
1719,2015,523
1720,2006,523
1721,2003,523
1722,2018,524
1723,2019,524
1724,2017,524
1725,2009,525
1726,2010,525
1727,2015,525
1728,2002,526
1729,2004,526
1730,2019,527
1731,2009,528
1732,2008,528
1733,2011,528
1734,2004,528
1735,2013,528
1736,2016,528
1737,2015,528
1738,2014,528
1739,2012,529
1740,2018,530
1741,2014,530
1742,2019,530
1743,2008,531
1744,2004,531
1745,2010,532
1746,2008,532
1747,2006,532
1748,2013,532
1749,2010,533
1750,2009,533
1751,2008,533
1752,2013,533
1753,2019,533
1754,2015,533
1755,2007,533
1756,2018,534
1757,2019,534
1758,2015,534
1759,2008,535
1760,2010,535
1761,2001,535
1762,2009,535
1763,2015,535
1764,2004,535
1765,2018,536
1766,2019,536
1767,2015,537
1768,2006,538
1769,2005,538
1770,2006,539
1771,2002,539
1772,2005,539
1773,2007,539
1774,2014,540
1775,2011,540
1776,2010,540
1777,2012,540
1778,2013,540
1779,2019,540
1780,2016,540
1781,2018,541
1782,2019,541
1783,2011,542
1784,2014,542
1785,2015,542
1786,2011,543
1787,2014,543
1788,2013,543
1789,2015,543
1790,2018,544
1791,2019,544
1792,2000,545
1793,1998,545
1794,1999,545
1795,2018,546
1796,2019,546
1797,2011,547
1798,2012,547
1799,2013,547
1800,2014,547
1801,2006,547
1802,2002,547
1803,2004,547
1804,2015,547
1805,2008,547
1806,2010,547
1807,2000,548
1808,2007,548
1809,2010,548
1810,1999,548
1811,2018,549
1812,2008,550
1813,2010,550
1814,2011,551
1815,2012,551
1816,2013,551
1817,2014,551
1818,2015,551
1819,2000,552
1820,2018,553
1821,2000,554
1822,1999,554
1823,2003,555
1824,2002,555
1825,2000,555
1826,1999,555
1827,2004,556
1828,2005,556
1829,2018,557
1830,2020,558
1831,2018,559
1832,2013,560
1833,2015,560
1834,2015,561
1835,2011,562
1836,2013,562
1837,2015,562
1838,2010,562
1839,2018,562
1840,2018,563
1841,2012,564
1842,2015,564
1843,2015,565
1844,2015,566
1845,2013,566
1846,2004,566
1847,2006,566
1848,2011,566
1849,2005,566
1850,2010,566
1851,2008,566
1852,2009,566
1853,2018,566
1854,2016,566
1855,2007,566
1856,2006,567
1857,2011,567
1858,2013,567
1859,2015,567
1860,2009,567
1861,2008,567
1862,2018,567
1863,2017,567
1864,2007,567
1865,2015,568
1866,2013,568
1867,2009,568
1868,2011,568
